club,city,url
Chicago Rocks & Minerals Society,Skokie,"<a name=""id""></a>"
Elgin Rock Club,Elgin,"<a href=""http://www.hellscanyongemclub.com/"">Hells Canyon Gem Club, Inc.</a>"
"Geodeland Earth Science Clubs, Inc.",Macomb,"<a href=""http://ifgemmineral.weebly.com/"">Idaho Falls Gem &amp; Mineral Society</a>"
Lincoln Orbit Earth Science Society,Springfield,"<a href=""http://www.idahogemclub.com/"">Idaho Gem Club, Inc.</a>"
Midwest Historical Research Society,Chicago,"<a href=""http://magicvalleygemclub.org/"">Magic Valley Gem Club</a>"
Northwest Illinois Rock Club,Freeport,"<a href=""http://www.northidahomineralclub.com/"">North Idaho Mineral Club</a>"
Peoria Academy of Science Geology Section,Peoria,"<a href=""http://www.owyheerocks.com/"">Owyhee Gem &amp; Mineral Society</a>"
Southern Illinois Earth Science Club,Benton,"<a href=""https://pendoreillerockandgemclub.wordpress.com/"">Pend Oreille Rock and Gem Club</a>"
West Central Illinois Rock & Mineral Club,Macomb,"<a href=""https://www.facebook.com/SEIGMS"">Southeast Idaho Gem and Mineral Society</a>"
West Suburban Lapidary Club,Elmhurst,"<a name=""il""></a>"
500 Earth Sciences Club,Indianapolis,"<a href=""http://www.blackhawkgemandmineralclub.com/"">Black Hawk Gem &amp; Mineral Club</a>"
Brown County Rock and Mineral Club,Nashville,"<a href=""http://rmkapta.wixsite.com/cigmc"">Central Illinois Gem &amp; Mineral Club</a>"
Calumet Gem & Mineral Society,Crown Point,"<a href=""http://www.chicagorocks.org/"">Chicago Rocks &amp; Minerals Society</a>"
Evansville Lapidary Society,Evansville,"<a href=""http://elginrockclub.org/"">Elgin Rock Club</a>"
"Eastern Indiana Gem & Geological Society, Inc.",Richmond,"<a href=""http://www.geodeland.com/"">Geodeland Earth Science Clubs, Inc.</a>"
"Lawrence County Rock Club, Inc",Bedford,"<a href=""http://www.loess.org/"">Lincoln Orbit Earth Science Society</a>"
"Michiana Gem & Mineral Society, Inc.",South Bend,"<a href=""http://www.mhrsusa.com/"">Midwest Historical Research Society</a>"
Three Rivers Gem & Mineral Society,Fort Wayne,"<a href=""http://nwilrockclubfrpt.blogspot.com/"">Northwest Illinois Rock Club</a>"
Cedar Valley Rocks and Minerals Society,Cedar Rapids,"<a href=""http://www.pasgeology.com/"">Peoria Academy of Science Geology Section</a>"
Des Moines Lapidary Society,Des Moines,"<a href=""http://www.siesclub.org/"">Southern Illinois Earth Science Club</a>"
Geology Club @ Cornell College,Mount Vernon,"<a href=""http://www.rockchatter.com/"">West Central Illinois Rock &amp; Mineral Club</a>"
Iowa State University Geology Club,Ames,"<a href=""http://www.westsuburbanlapidaryclub.com/"">West Suburban Lapidary Club</a>"
River Valley Rockhounds,Fort Dodge,"<a name=""in""></a>"
The Sac & Fox Lapidary Club,Fairfield,"<a href=""http://www.500earthsciencesclub.org/"">500 Earth Sciences Club</a>"
Olathe Gem and Mineral Society,Kansas City,"<a href=""http://browncountyrock.webs.com/"">Brown County Rock and Mineral Club</a>"
Topeka Gem & Mineral Society,Topeka,"<a href=""https://www.facebook.com/calumetrockclub"">Calumet Gem &amp; Mineral Society</a>"
Wichita Gem and Mineral Society,Wichita,"<a href=""http://evansvillelapidarysociety.tumblr.com/"">Evansville Lapidary Society</a>"
Wichita Paleontological Society,Wichita,"<a href=""http://eiggs.weebly.com/"">Eastern Indiana Gem &amp; Geological Society, Inc.</a>"
Blue Grass Gem & Mineral Club of Central Kentucky,Lexington,"<a href=""http://www.lawrencecountyrockclub.org/"">Lawrence County Rock Club, Inc</a>"
KYANA Geological Society,Louisville,"<a href=""http://www.michianagms.org/"">Michiana Gem &amp; Mineral Society, Inc.</a>"
Kentucky Paleontological Society,Lexington,"<a href=""http://3riversgem_mineral.tripod.com/"">Three Rivers Gem &amp; Mineral Society</a>"
Ark-La-Tex Gem & Mineral Society,Shreveport,"<a name=""ia""></a>"
Baton Rouge Gem & Mineral Society,Baton Rouge,"<a href=""http://www.cedarvalleyrockclub.org/"">Cedar Valley Rocks and Minerals Society</a>"
DeRidder Gem & Mineral Society,Leesville,"<a href=""http://dmlapidary.org/"">Des Moines Lapidary Society</a>"
Kennebec Rocks and Minerals Club,Winthrop,"<a href=""http://orgs.cornellcollege.edu/geo_club/"">Geology Club @ Cornell College</a>"
Maine Mineralogical & Geological Society,Portland,"<a href=""https://www.facebook.com/ISUGEOCLUB/"">Iowa State University Geology Club</a>"
Oxford County Mineral and Gem Association,South Paris,"<a href=""http://amfed.org/mwf/states/Iowa/RiverValley.html"">River Valley Rockhounds</a>"
Penobscot Mineral and Lapidary Club,Milford,"<a href=""http://members.iowatelecom.net/billrath/rock_club.html"">The Sac &amp; Fox Lapidary Club</a>"
American Fossil Federation,Bowie,"<a name=""ks""></a>"
Baltimore Mineral Society,Baltimore,"<a href=""http://olathegemclub.com/"">Olathe Gem and Mineral Society</a>"
